Intake number,Address,Manual Status,Status,Verification
2171,5519 HARRISON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2172,5768 PASCHAL WAY MAGALIA CA 95954,,No Visible Damage,unverified
2173,6382 Scripps CT Magalia CA 95954,Destroyed (>50%),Destroyed (>50%),match
2174,422 Yankee Vista Dr Oroville ca 95965,,No Visible Damage,unverified
2175,6751 ISHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2176,6751 ISHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2177,6259 SEABURY CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2178,1071 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2179,7290 BUNKER HILL MINE RD Oroville ca 95965,,No Visible Damage,unverified
2180,6482 IMPERIAL WAY MAGALIA CA 95954,,No Visible Damage,unverified
2181,13751 GILFALLEN LN MAGALIA CA 95954,No Visible Damage,Destroyed (>50%),mismatch
2182,667 MADRONE WAY #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2183,1310 PEARSON RD PARADISE CA 95967,Destroyed (>50%),Destroyed (>50%),match
2184,14632 COLTER WAY MAGALIA CA 95954,,No Visible Damage,unverified
2185,6734 BELLEVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2186,6231 VIRGINIA WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2187,554 HONEYRUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2188,292 REDBUD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2189,3333 NEAL RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2190,778 E OAK ST PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2191,5603 MALLEN LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2192,1709 CONNELL LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2193,105 TUSCAN DR PARADISE CA 95969,No Visible Damage,No Visible Damage,match
2194,1397 SALISBURY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2195,587 oakwood ln #1 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2196,438 APPLE LN PARADISE CA 95969,Affected (1-9%),Uncertain (Nearby features vary in damage),uncertain
2197,6225 JOPLIN CT MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2198,5591 Butte View Ter Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2199,717 Heavens Gate Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2200,5320 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2201,5741 JAMIE LN #A PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2202,9062 SKWY PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2203,6393 FRANK TURNER WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2204,6380 FRANK TURNER WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2205,887 WAGGONER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2206,5500 NEWLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2207,5500 NEWLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2208,15059 JACK PINE WAY MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
2209,1724 ELLIS DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2210,5436 Clark Rd #30 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2211,6723 ISSHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2212,13763 SUGAR PINE DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2213,1921 CRANDALL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2214,540 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2215,6819 CLARK RD #a PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2216,13259 CENTERVILLE RD CHICO CA 95928,No Visible Damage,No Visible Damage,match
2217,7290 BUNKER HILL MINE RD Oroville ca 95965,,No Visible Damage,unverified
2218,13628 YANA CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2219,544 CASA DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2220,4007 DANVILLE CIR oroville CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2221,1000 ELLIOTT RD #B PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2222,5337 CLARK RD PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
2223,3883 WINDERMERE LN OROVILLE CA 95965,Destroyed (>50%),Destroyed (>50%),match
2224,1983 HILLPARK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2225,1000 ELLIOTT RD #B PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2226,6819 CLARK RD #d PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2227,5770 CLARK RD #c 5 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2228,13576 SOUTH PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2229,5510 Clark rd #37 Paradise CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2230,6088 clard RD #4 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2231,6318 CLARK RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2232,1084 HONEYRUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2233,5803 COPELAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2234,14885 STARPINE CT MAGALIA CA 95954,,No Visible Damage,unverified
2235,5607 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2236,1143 NUNNELEY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2237,5965 SELBY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2238,687 BILLE RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2239,1650 TIMBERWALK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2240,5603 NEWLAND RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2241,1146 ELLIOTT RD #14 PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2242,1375 EMERALD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2243,858 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2244,3341 NEAL RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2245,11300 MILLER FLAT RD OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2246,5916 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2247,1072 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2248,5784 HOMESTEAD PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2249,14310 SINCLAIR CIR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
2250,1401 TOWHEE LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2251,1077 SHADOW BROOK WAY #14 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2252,567 E LASSEN AVE #613 CHICO CA 95973,,No Visible Damage,unverified
2253,13900 HOOD CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2254,5423 PRINCETON WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2255,6040 PECK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2256,1374 HERMAN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2257,6697 ECHO GLENN CT #c14 MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
2258,3975 WINDERMERE LN OROVILLE CA 95965,Destroyed (>50%),Destroyed (>50%),match
2259,14160 DECATUR DR MAGALIA CA 95954,No Visible Damage,Destroyed (>50%),mismatch
2260,2226 HONEY RUN CHICO CA 95928,Destroyed (>50%),Destroyed (>50%),match
2261,5601 JEWEL RD #8 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2262,13280 ASTORIA WAY OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2263,484 NUNNELEY RD #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2264,1080 BUSCHMANN RD #3 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2265,1690 GATE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2266,1524 WAG STAFF RD #G PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2267,526 HORSESHOE HILL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2268,5377 EDGEWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2269,1275 DEER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2270,1678 WAGSTAFF RD PARADISE CA 95969,Affected (1-9%),Uncertain (Nearby features vary in damage),uncertain
2271,13618 YANA CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2272,5025 RUSSELL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2273,1352 PARKWAY DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2274,6372 OLIVER RD PARADISE CA 95969,Minor (10-25%),Minor (10-25%),match
2275,1269 STORYBOOK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2276,13392 HOG RANCH RD OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2277,1040 BUSCHMANN RD #59 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2278,1040 BUSCHMANN RD #59 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2279,13916 HOOD CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2280,4775 GOLD NUGGET RD CHICO CA 95928,Destroyed (>50%),No Visible Damage,mismatch
2281,5604 FOLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2282,1659 BILLIE RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2283,621 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2284,5975 MAXWELL DR PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2285,1352 PARKWAY DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2286,3903 PENTZ RD PARADISE CA 95969,,No Visible Damage,unverified
2287,1352 PARKWAY DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2288,155 hittenmind oriville CA 95677,,Error (Unexpected geocode exception: Geocode candidate score too low),unverified
2289,6010 SUNNY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2290,985 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2291,4555 BIG BEND RD OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2292,13510 ADRIAN DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2293,13927 CHESTNUT CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2294,3294 NEAL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2295,5747 PEARL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2296,13740 SKWY #C  MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2297,1632 KINGDOM CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2298,1421 NUNNELY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2299,1632 KINGDOM CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2300,1340 Bille Rd #10 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2301,511 MONTGOMERY PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2302,9289 SKWY #46 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2303,6799 Skywat #19 Paradise CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2304,4791 ROUND VALLEY RANCH RD PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2305,1431 MAYHEW LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2306,1825 FOREST GLEN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2307,1290 NOTRE DAME BLVD #80 CHICO CA 95928,,No Visible Damage,unverified
2308,5427 EDGEWOOD LN #13 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2309,564 VALLEY VIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2310,1919 CRANDALL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2311,4980 BLUE BALATON LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2312,6751 ISHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2313,1794 HONEY RUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2314,1687 RYAN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2315,6010 PECK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2316,1635 AKEXIS LN PAR CA 95968,Destroyed (>50%),Destroyed (>50%),match
2317,1635 AKEXIS LN PAR CA 95968,Destroyed (>50%),Destroyed (>50%),match
2318,6203 KILGORD CT MAGALIA CA 95954,,No Visible Damage,unverified
2319,#N/A,,No Visible Damage,unverified
2320,1381 SALISBURY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2321,4641 MEADOWSONG DR PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2322,3805 TIMTAM LN OROVILLE CA 95965,,No Visible Damage,unverified
2323,11212 DEZ CT OROVILLE CA 95965,Destroyed (>50%),Destroyed (>50%),match
2324,443 NUNNELEY RD #P PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2325,14869 GOLDCONE DR MAGALIA CA 95954,,No Visible Damage,unverified
2326,5647 CLARK RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2327,5724 REED LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2328,5974 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2329,14360 SKY WAY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2330,712 MEYERS LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2331,929 THOMASSON LN PARADI CA CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2332,14836 GOLDCONE DR MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2333,5189 COUNTRY CLUB DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2334,766 BRESCAIANI CIR QUINCY CA 95971,,No Visible Damage,unverified
2335,985 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2336,13920 DADE CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2337,14646 LARTER LN MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2338,11590 CONVOS RD OROVILLE CA 95965,,Uncertain (Nearby features vary in damage),unverified
2339,5015 CIRCLE LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2340,6358 LANCASTER DR PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2341,6765 ISHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2342,5989 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2343,4856 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2344,5353 SAWNILL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2345,13804 W PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2346,5730 Scottwood RDParadise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2347,5846 NIELSEN CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2348,9250 SKWY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2349,4440 CLARK RD OROVILLE CA 95965,,No Visible Damage,unverified
2350,5393 SAWMILL RD #20 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2351,3535 SU NSET CANYON RD Oroville ca 95965,,No Visible Damage,unverified
2352,5230 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2353,13918 HOBARR CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2354,5340 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2355,5198 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2356,5943 KIBLER RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2357,720 EDWARDS LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2358,5420 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2359,6331 OAK WAY PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2360,6494 BOULDER DR MAGALIA CA 95954,,No Visible Damage,unverified
2361,5322 edgewood ln #8 Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2362,72 PEARSON RD #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2363,14255 SKWY MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2364,7052 MOLOKAI DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2365,787 RED HILL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2366,13740 SKWY MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2367,5825 FICKETT LN PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2368,5463 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2369,14360 skwy #B13 Magalia CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2370,6362 ZUCKERMAN CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2371,5466 EDGEWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2372,6108 CLARK RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2373,3535 SU NSET CANYON RD Oroville ca 95965,,No Visible Damage,unverified
2374,6168 DRURY CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2375,5949 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2376,1049 MAPLE PARK DR #B PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2377,5842 JAMES DR #E PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2378,4740 SKWY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2379,5723 JEWEL L RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2380,5675 NEWMAN AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2381,6701 BELLEVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2382,3742 HOFFMAN RD OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2383,1542 MILLWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2384,1392 AGAT LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2385,6710 MACHUGA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2386,6396 DIAMOND AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2387,13763 SOUTH PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2388,6920 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2389,6421 GRAHAM RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2390,4907 SKWY #B PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2391,5851 James Dr #C paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2392,1250 ELLIOTT RD #24 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2393,720 WAGSTAFF RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2394,12057 JORDAN HILL RD OROVILLE CA 95965,,Uncertain (Nearby features vary in damage),unverified
2395,5848 James Dr #B Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2396,5018 WILDERNESS WAY PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2397,13616 NIMSHEW RD MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2398,1354 ELLIOTT RD #12 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2399,1710 TIMBER LN #1710 timber ln PARADISE CA 95973,Destroyed (>50%),Destroyed (>50%),match
2400,3922 Pentz RD #20 Paradise CA 95969,No Visible Damage,No Visible Damage,match
2401,1330 PEARSON RD PARADIS CA 95969,Destroyed (>50%),Destroyed (>50%),match
2402,4979 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2403,6293 VIRGINIA WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2404,14823 GLENWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
2405,5604 LITTLE GRAND CYN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2406,11260 oroville RD OROVILLE CA 95965,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2407,11260 oroville RD OROVILLE CA 95965,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2408,5848 James Dr #A Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2409,14154 ELMIRA CIR MAGNOLIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2410,744 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2411,13643 BADER MINE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2412,6368 SIENA CT MAGALIA CA 95954,No Visible Damage,Destroyed (>50%),mismatch
2413,CENTER ST PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
2414,6283 DIMITRI CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2415,13679 ENDICOT CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2416,1525 MILLWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2417,1364 PARKWAY DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2418,1364 PARKWAY DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2419,1356 ORPUT LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2420,5848 JAMES DR #B PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2421,5714 FICKETT LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2422,5837 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2423,6078 MCKINNEY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2424,5461 ALMOND ST #4 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2425,60 VISTA VILLAGE DR PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
2426,11345 CONCOW RD OROVILLE CA 95965,Destroyed (>50%),Destroyed (>50%),match
2427,5940 Camino LN #5 Paradise CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2428,6334 BASTON LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2429,1664 KINGS RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2430,1591 SAWPECK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2431,6102 MAXWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2432,5570 BROOKSIDE AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2433,14242 MANATEE CIR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
2434,6600 QUAIL LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2435,6158 OLIVER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2436,5471 S LIBBY RD #21 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
2437,2920 CLARK RD #ec 19A OROVILLE CA 95965,No Visible Damage,No Visible Damage,match
2438,1431 LOFTY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2439,6497 Perry Rd Magalia CA 95954,,No Visible Damage,unverified
2440,443 NUNNELLEY RD #o PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2441,6673 de lavergne RD magalia CA 95954,No Visible Damage,No Visible Damage,match
2442,1090 SHADOWBROOK WAY #28 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2443,6130 B ROSSI WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2444,6460 MARIN CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2445,6178 W Wagstaff RD Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2446,5927 PINE VIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2447,2878 CORY CREEK RD BUTTE VALLEY CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2448,6130 ROSSI WAY #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2449,6224 WALL LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2450,6379 SIMONSON CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
2451,2878 CORY CREEK RD BUTTE VALLEY CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2452,2878 CORY CREEK RD BUTTE VALLEY CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
2453,6130 ROSSI WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2454,1629 EAGLET WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2455,7215 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
2456,1280 Wagstaff RD #35 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
2457,1250 ELLIOTT RD #19 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
